Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
418,-4.06605,2.13278
419,-1.10172,0.557153
420,-3.43842,2.05895
421,-1.46252,0.718566
422,-0.875754,0.452662
423,-1.39499,0.837186
424,-0.757632,0.612204
425,-1.19987,1.17019
426,-0.397324,0.306982
427,-0.73306,0.643523
428,-0.683766,0.416628
429,-1.541,0.97899
430,-0.803143,0.801612
431,-1.62375,1.3625
432,-0.827053,0.523844
433,-2.12061,1.17186
434,-1.68234,0.834275
435,-1.10577,0.557989
436,-1.77297,1.04377
437,-2.11102,1.27219
438,-2.3985,1.08823
439,-1.03632,0.680645
440,-1.26441,1.09199
441,-2.10396,1.08166
442,-1.87191,1.09792
443,-1.72752,0.939352
444,-1.04413,0.937376
445,-0.768551,0.991001
446,-1.35245,0.948942
447,-1.14141,0.532677
448,-1.09401,0.851192
449,-3.28878,1.32988
450,-0.466747,0.410055
451,-1.55168,1.82676
452,-4.5113,2.78474
453,-0.184612,0.157011
454,-1.36624,0.827899
455,-2.88433,1.82867
456,-2.24731,1.36568
457,-1.1404,0.445162
458,-1.11556,0.723824
459,-1.71274,0.89207
460,-3.69746,1.96454
461,-2.2047,1.32408
462,-2.84315,2.12151
463,-4.40805,2.60192
464,-2.12087,1.44638
465,-1.52915,0.929575
466,-4.15855,1.51392
467,-3.70946,1.853
468,-1.71152,0.95002
469,-2.0836,0.938872
470,-4.45315,1.83451
471,-4.40855,2.352
472,-2.39961,1.62358
473,-2.61175,1.90854
474,-5.48023,3.20762
475,-2.69615,1.27683
476,-5.03093,3.1687
477,-2.16901,2.01617
478,-1.50104,1.03608
479,-3.52224,1.6733
480,-3.33455,1.72316
481,-2.21053,1.11442
482,-4.40531,2.04772
483,-2.60764,1.14174
484,-4.2083,1.97424
485,-1.55877,0.759248
486,-1.0097,0.737304
487,-2.46555,1.02972
488,-0.4179,0.375487
489,-1.58322,0.820507
490,-3.76797,1.48292
491,-0.312195,0.518013
492,-2.94108,1.54528
493,-3.5405,1.94497
494,-2.63746,1.01414
495,-0.759938,0.636379
496,-0.709434,0.447058
497,-2.36417,0.859509
498,-2.63759,1.73861
499,-4.10088,2.0129
500,-4.21514,2.61259
501,-4.70578,2.15801
502,-3.21195,2.03687
503,-2.07731,0.993067
504,-3.41306,2.49647
505,-2.7396,1.54461
506,-3.13133,1.82688
507,-3.85105,1.36662
508,-1.18289,0.604485
509,-1.5885,0.536097
510,-0.940729,0.488471
511,0.163412,0.126158
512,-2.04884,1.63649
513,-1.7491,1.04218
514,-1.27235,0.917487
515,-1.00003,0.506356
516,-3.00473,1.67791
517,-0.945712,0.760804
518,-0.0897143,0.255837
519,-1.01897,0.62739
520,-2.78731,1.50729
521,-2.02329,1.07844
522,-0.884894,0.664356
523,-2.03066,1.5551
524,0.100719,0.315096
525,-0.966338,0.697522
526,-3.1411,1.32872
527,-1.01419,0.618226
528,-2.83346,1.5657
529,-0.712357,0.542941
530,-2.2844,0.997055
531,-1.30843,0.751335
532,-0.917291,0.72292
533,-1.22965,0.754528
534,-0.897556,0.493009
535,-1.03228,0.572175
536,-1.44612,1.11873
537,-0.53265,0.460136
538,-2.8153,2.09801
539,-1.01708,0.483534
540,-0.64425,0.516482
541,-1.52153,0.723501
542,-2.60839,1.97008
543,-1.73723,0.837013
544,-2.03009,1.47832
545,-1.53199,1.04069
546,-3.57821,1.76416
547,-0.552585,0.348089
548,-1.48489,0.773146
549,-3.88164,1.92887
550,-3.83337,1.87737
551,-4.65117,2.41478
552,-2.94186,1.82501
553,-3.34339,1.2656
554,-1.30555,0.762567
555,-0.945872,0.413816
556,-1.54877,1.48509
557,-3.10269,1.27364
