Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
931,5.83937,0.228087
932,6.19031,0.154991
933,5.81214,0.207747
934,5.94983,0.20598
935,6.04307,0.179095
936,5.84157,0.211033
937,5.76399,0.238001
938,6.16218,0.148948
939,6.04169,0.176941
940,6.0545,0.154951
941,5.83628,0.240171
942,6.00013,0.184535
943,6.14612,0.121582
944,6.2709,0.0748406
945,6.20556,0.120081
946,6.02949,0.157916
947,6.03495,0.189197
948,6.02673,0.128775
949,5.88209,0.185596
950,5.79707,0.223549
951,5.92338,0.226463
952,5.76106,0.24282
953,6.22213,0.156437
954,5.97377,0.214071
955,5.99832,0.16361
956,5.9474,0.218409
957,5.98188,0.219324
958,6.08683,0.169097
959,5.78584,0.23801
960,6.00793,0.163003
961,5.85893,0.243248
962,6.0933,0.155532
963,5.75003,0.263841
964,6.09348,0.183631
965,6.05879,0.163798
966,5.68374,0.263147
967,6.25357,0.101747
968,5.87608,0.252671
969,6.14893,0.08209
970,6.08054,0.110737
971,5.94768,0.195844
972,5.61365,0.278416
973,5.9601,0.223202
974,5.79859,0.293221
975,6.06978,0.198325
976,5.90077,0.234075
977,5.89144,0.240504
978,5.48917,0.31898
979,6.30485,0.0561595
980,6.18082,0.150403
981,6.21191,0.0824231
982,6.21659,0.151763
983,6.13058,0.189432
984,5.93066,0.219995
985,6.0976,0.15559
986,5.84605,0.225466
987,6.03361,0.220768
988,5.67652,0.273209
989,5.86488,0.232329
990,6.08373,0.166752
991,5.74736,0.26824
992,6.13084,0.177683
993,5.94598,0.197297
994,6.05853,0.169649
995,6.00876,0.207232
996,5.95899,0.210901
997,6.24477,0.108143
998,5.74229,0.248099
999,6.00168,0.229446
1000,6.47481,0.0412704
