Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1067,465.746,285.286
1068,516.468,309.412
1069,713.977,302.66
1070,794.494,278.083
1071,497.532,294.662
1072,899.119,276.185
1073,906.524,269.916
1074,941.013,255.62
1075,816.572,270.386
1076,822.926,253.744
1077,206.587,305.622
1078,984.596,242.211
1079,463.793,284.123
1080,1178.87,229.561
1081,763.062,268.613
1082,453.002,295.285
1083,445.781,311.535
1084,617.278,292.166
1085,1014.2,267.192
1086,383.576,305.346
1087,790.96,266.469
1088,968.123,252.298
1089,370.488,317.156
1090,836.073,266.816
1091,427.619,323.676
1092,1021.86,248.681
1093,570.71,277.427
1094,588.95,275.313
1095,1306.38,191.945
1096,885.008,274.975
1097,833.495,249.818
1098,333.569,287.862
1099,761.853,296.318
1100,865.279,257.741
1101,491.164,290.264
1102,1024.68,260.988
1103,425.083,290.59
1104,755.728,260.519
1105,940.146,245.311
1106,570.885,281.277
1107,757.617,283.884
1108,694.482,253.23
1109,695.499,280.337
1110,795.725,264.768
1111,836.705,277.389
1112,421.842,285.263
1113,1148.06,239.133
1114,728.101,277.241
1115,595.315,294.027
1116,1165.46,237.794
1117,613.334,275.174
1118,838.178,260.439
1119,442.86,302.852
1120,700.272,283.846
1121,322.471,301.762
1122,1097.25,247.781
1123,747.276,241.148
1124,290.781,282.143
1125,689.257,251.728
1126,877.883,252.263
1127,356.924,295.458
1128,836.988,259.819
1129,457.339,303.728
1130,769.186,290.246
1131,543.541,284.946
1132,1245.25,217.754
1133,637.284,284.014
1134,941.572,257.74
1135,488.978,292.522
1136,665.669,288.758
1137,765.381,266.363
1138,845.895,257.794
1139,945.865,251.939
1140,687.762,299.869
1141,467.77,295.303
1142,452.105,297.998
1143,680.399,249.775
1144,260.116,283.974
1145,1153.3,240.386
1146,720.436,288.555
1147,982.13,271.882
1148,611.165,288.154
1149,625.069,277.628
1150,707.098,281.873
1151,757.274,262.449
1152,732.413,288.703
1153,826.757,273.212
1154,295.087,302.541
1155,658.733,266.525
1156,1143.71,216.991
1157,905.815,260.583
1158,369.37,287.203
1159,656.356,278.462
1160,1198.63,213.046
1161,920.369,245.605
1162,871.146,268.77
1163,1031.66,248.36
1164,969.757,257.4
1165,989.642,249.946
1166,636.403,289.123
1167,891.347,257.541
1168,721.69,294.949
1169,772.802,291.797
1170,549.852,284.345
1171,1020.65,260.304
1172,314.026,297.079
1173,867.042,277.118
1174,796.413,266.575
1175,751.106,274.679
1176,650.794,286.46
1177,786.918,275.737
1178,890.182,254.84
1179,1020.15,225.062
1180,1027.7,255.829
1181,668.985,268.146
1182,994.842,261.003
1183,899.007,240.608
1184,900.298,277.643
1185,892.787,272.047
1186,903.734,259.374
1187,549.697,283.985
1188,831.131,286.544
1189,1239.44,186.217
1190,801.313,261.821
1191,958.078,263.922
1192,596.17,289.885
1193,591.071,306.94
1194,948.519,255.576
1195,970.321,260.613
1196,614.646,290.952
1197,769.286,281.523
1198,1068.58,199.756
1199,525.07,304.341
1200,778.154,272.536
1201,1003.2,247.395
1202,1226.29,215.049
1203,623.539,286.808
1204,845.816,249.773
1205,593.42,292.337
1206,1140.22,204.738
1207,1128.6,245.799
1208,933.874,268.417
1209,808.722,261.531
1210,468.443,309.569
1211,925.752,253.134
1212,983.075,249.343
1213,941.141,254.069
1214,1060.16,243.618
1215,551.318,310.319
1216,1233.17,220.448
1217,1252.29,208.384
1218,1086.7,234.955
1219,692.137,271.204
1220,938.692,252.514
1221,721.376,273.962
1222,936.134,267.171
1223,736.427,265.026
1224,780.664,268.309
1225,743.319,279.812
1226,828.102,277.517
1227,521.46,294.07
1228,775.844,277.259
1229,965.63,251.267
1230,180.955,310.238
1231,258.144,320.787
1232,986.117,237.383
1233,929.952,250.838
1234,1029.28,227.326
1235,786.351,262.842
1236,819.493,263.956
1237,837.77,260.879
1238,929.148,269.598
1239,698.87,294.048
1240,918.792,275.661
1241,914.452,256.298
1242,622.961,249.476
1243,911.988,259.091
1244,930.309,256.786
1245,713.204,303.705
1246,842.295,261.165
1247,976.25,266.324
1248,838.023,276.673
1249,1077.78,261.78
1250,1097.96,253.077
1251,428.896,300.603
1252,964.738,263.128
1253,612.018,297.671
1254,962.287,261.772
1255,1064.55,252.179
1256,927.027,267.976
1257,803.013,276.162
1258,713.992,288.743
1259,1185.32,237.484
1260,1121.89,242.462
1261,895.365,242.817
1262,932.765,252.538
1263,905.472,277.011
1264,577.495,291.771
1265,582.431,313.449
1266,665.082,288.846
1267,835.36,237.523
1268,627.275,263.913
1269,884.11,265.265
1270,127.105,300.15
1271,1036.47,240.669
1272,745.256,276.91
1273,1012.57,260.549
1274,691.427,305.069
1275,887.113,274.538
1276,1129.04,233.254
1277,1057.01,258.704
1278,530.766,303.646
1279,869.42,267.431
1280,1203.14,238.233
1281,860.231,260.34
1282,831.683,255.7
1283,781.565,275.133
1284,1018.11,252.649
1285,1134.91,234.243
1286,1085.35,227.848
1287,860.169,255.275
1288,895.034,250.515
1289,796.134,273.472
1290,650.061,291.035
1291,430.876,285.126
1292,1071.63,250.08
1293,682.563,276.343
1294,623.921,285.091
1295,1009.13,257.425
1296,1141.36,213.766
1297,760.227,266.145
1298,1063.83,205.66
1299,941.319,252.071
1300,420.999,290.264
1301,458.676,291.759
1302,1132.98,255.166
1303,872.628,283.871
1304,559.475,291.302
1305,450.099,297.571
1306,993.557,265.146
1307,1128.48,241.025
1308,1245.82,231.203
1309,729.927,287.346
1310,827.291,289.643
1311,855.202,280.292
1312,373.057,313.801
1313,692.269,293.22
1314,1211.58,222.223
1315,882.501,281.208
1316,991.889,256.508
1317,821.768,274.789
1318,735.256,280.427
1319,1103.71,248.683
1320,1013.24,234.529
1321,966.245,273.895
1322,934.74,261.095
1323,1118.17,259.426
1324,827.483,261.397
1325,983.311,250.23
