Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
797,1516.32,50.9581
798,1535.7,42.439
799,1563.03,35.3491
800,1574.88,26.2953
801,1550.77,35.5555
802,1577.39,27.7237
803,1550.58,38.2471
804,1550.26,50.8767
805,1600.47,24.5488
806,1553.84,39.0972
807,1517.41,52.7823
808,1502.77,49.8243
809,1461.31,60.7799
810,1547.93,37.5575
811,1427.29,65.1234
812,1562.64,41.129
813,1449.92,67.925
814,1393.87,86.1121
815,1593.6,29.8989
816,1499.04,48.4921
817,1494.67,67.1974
818,1466.12,56.0459
819,1538.95,43.0203
820,1470.96,57.8442
821,1551.45,49.07
822,1467.68,68.3627
823,1486.38,66.1213
824,1427.68,59.0186
825,1522.37,45.2368
826,1488.71,57.1769
827,1492.03,51.2386
828,1599.24,24.1441
829,1487.66,49.0083
830,1593.92,25.9262
831,1508.95,43.3377
832,1524.47,42.9162
833,1445.31,73.9584
834,1508.03,74.3927
835,1508.67,69.5985
836,1445.92,81.44
837,1550.05,37.7914
838,1478.51,57.9682
839,1519.68,56.9608
840,1419.82,81.634
841,1485.19,64.5197
842,1511.97,55.9932
843,1527.16,47.2574
844,1427.53,82.192
845,1525.22,74.1824
846,1523.18,65.038
847,1437.95,85.0363
848,1453.55,61.5326
849,1585.07,36.2633
850,1492.52,60.8158
851,1565.8,38.4169
852,1601.5,31.6205
853,1573.04,42.5531
854,1498.07,71.5717
855,1468.13,76.7184
856,1449.98,75.6814
857,1404.67,78.9336
858,1417.49,72.8137
859,1516.58,66.3511
860,1535.43,41.3278
861,1540.87,38.205
862,1537.33,44.7422
863,1558.1,43.7113
864,1483.74,74.6373
865,1540.75,66.7951
866,1578.2,54.4564
867,1589.98,25.8526
868,1611.85,18.4478
869,1588.45,28.6872
870,1508.33,70.7099
871,1491.07,64.8855
872,1529.43,60.5548
873,1537.09,47.6958
874,1465.81,64.4589
875,1438.69,85.4697
876,1533.2,66.8198
877,1534.71,39.2912
878,1494,63.015
879,1523.6,65.6141
880,1573.86,30.5349
881,1432.38,87.2787
882,1525.17,57.5437
883,1570.79,30.5662
884,1485.38,66.3169
885,1425.88,77.0454
886,1660.61,5.2722
887,1546.93,40.251
888,1503.66,47.7303
889,1523.02,67.8233
890,1506.14,52.068
891,1374.74,94.5252
892,1483.56,75.9164
893,1548.61,51.2179
894,1538.59,66.9878
895,1552.06,46.5703
896,1424.58,91.7001
897,1463.81,85.6481
898,1529.79,43.726
899,1522.12,68.0839
900,1580.91,33.8598
901,1434.31,77.469
902,1615.58,24.506
903,1565.16,35.6309
904,1564.96,35.28
905,1584.87,34.8366
906,1500.95,46.4854
907,1509.53,59.3836
908,1517.32,55.1334
909,1492.38,60.2311
910,1529.47,43.8245
911,1479.02,63.243
912,1458.64,72.4099
913,1554.8,32.7724
914,1548.57,57.8653
915,1496.47,62.9522
916,1545.22,51.3606
917,1598.89,22.0103
918,1565.7,35.3558
919,1558.71,41.462
920,1563.12,42.6492
921,1564.43,45.5423
922,1435.31,89.0992
923,1607.49,29.3935
924,1484.26,72.622
925,1605.93,28.718
926,1505.51,70.2149
927,1487.81,52.0946
928,1564.53,54.4759
929,1520.95,56.2631
930,1536.57,41.2975
931,1539.7,43.7233
932,1378.29,84.3472
933,1445.98,71.2106
934,1494.96,55.3603
935,1519.77,53.526
936,1500.78,61.1757
937,1528.52,65.5852
938,1510.09,45.9182
939,1565.08,43.7484
940,1551.84,41.5552
941,1561.26,32.2477
942,1562.71,34.562
943,1510.64,63.1292
944,1555.29,47.6931
945,1485.49,68.9523
946,1565.7,35.1397
947,1508.61,57.1544
948,1513.4,61.6715
949,1446.44,64.0299
950,1510.51,52.7617
951,1551.68,43.6092
952,1615.94,25.2668
